,Name,Club,Nationality,Age,Overall,Height,Weight,Position,Preferred Foot,Value,Wage,Acceleration,Finishing,Vision,BallControl,Dribbling,Strength
8506,C. Monschein,FK Austria Wien,Austria,25,67,177.8,163,LM,Right,975000.0,6000,79.0,72.0,59.0,65.0,66.0,67.0
8507,L. Belingheri,Padova,Italy,35,67,182.88,154,CM,Right,325000.0,1000,68.0,52.0,66.0,71.0,67.0,68.0
8508,M. Lovera,Rosario Central,Argentina,19,67,170.18,143,CAM,Right,1400000.0,3000,81.0,61.0,54.0,69.0,74.0,63.0
8509,J. Nerwinski,Vancouver Whitecaps FC,United States,23,67,182.88,174,RB,Right,875000.0,2000,81.0,24.0,57.0,60.0,60.0,72.0
8510,M. Turner,Southend United,England,34,67,193.04,198,LCB,Right,230000.0,4000,32.0,30.0,53.0,52.0,22.0,81.0
8511,Cesinha,Daegu FC,Brazil,28,67,177.8,163,RW,Right,775000.0,3000,72.0,68.0,58.0,70.0,71.0,57.0
8512,M. Escudero,Patronato,Argentina,29,67,175.26,165,CB,Right,675000.0,5000,57.0,16.0,28.0,53.0,31.0,70.0
8513,J. Rivas,Tiburones Rojos de Veracruz,Mexico,33,67,187.96,205,CB,Left,300000.0,15000,32.0,40.0,36.0,50.0,40.0,91.0
8514,S. Szymański,Legia Warszawa,Poland,19,67,175.26,128,CAM,Left,1600000.0,2000,83.0,53.0,63.0,72.0,72.0,28.0
8515,E. Kılınç,Sivasspor,Turkey,23,67,175.26,150,LM,Left,1000000.0,5000,76.0,56.0,58.0,70.0,71.0,42.0
8516,Jon Erice,Albacete BP,Spain,31,67,177.8,159,LDM,Left,650000.0,3000,57.0,50.0,66.0,64.0,52.0,67.0
8517,F. Sears,Ipswich Town,England,28,67,170.18,165,LM,Right,800000.0,4000,78.0,65.0,63.0,68.0,65.0,59.0
8518,Kang Min Soo,Ulsan Hyundai FC,Korea Republic,32,67,185.42,168,RCB,Right,450000.0,3000,66.0,33.0,47.0,62.0,46.0,81.0
8519,P. Lienhart,SC Freiburg,Austria,21,67,187.96,176,CB,Right,1100000.0,5000,61.0,24.0,39.0,59.0,46.0,74.0
8520,T. Miller,Los Angeles FC,United States,25,67,193.04,205,GK,Right,750000.0,2000,33.0,15.0,42.0,22.0,20.0,50.0
8521,R. Fennell,VfR Aalen,United States,29,67,182.88,181,RCB,Right,600000.0,1000,67.0,48.0,60.0,66.0,66.0,77.0
8522,M. Ibáñez,Club Atlético Lanús,Argentina,31,67,190.5,194,GK,Right,475000.0,5000,47.0,10.0,32.0,14.0,11.0,71.0
8523,A. Arrighini,Carpi,Italy,28,67,180.34,165,LS,Right,800000.0,2000,66.0,66.0,50.0,67.0,61.0,68.0
8524,J. Cádiz,Vitória de Setúbal,Venezuela,22,67,190.5,163,ST,Right,1100000.0,2000,50.0,67.0,46.0,67.0,64.0,75.0
8525,L. Kozák,Livorno,Czech Republic,29,67,193.04,181,ST,Right,750000.0,2000,50.0,68.0,49.0,64.0,56.0,84.0
8526,T. Hoban,Aberdeen,Republic of Ireland,24,67,187.96,185,CB,Right,825000.0,13000,44.0,34.0,52.0,58.0,51.0,73.0
8527,B. Romero,Independiente,Argentina,27,67,175.26,154,ST,Right,900000.0,8000,83.0,71.0,60.0,69.0,68.0,66.0
8528,G. Togni,Defensa y Justicia,Argentina,20,67,172.72,168,LW,Left,1300000.0,6000,86.0,64.0,60.0,67.0,72.0,70.0
8529,R. Perticone,US Salernitana 1919,Italy,31,67,182.88,168,LB,Right,500000.0,2000,53.0,34.0,26.0,62.0,32.0,75.0
8530,K. Kitagawa,Shimizu S-Pulse,Japan,21,67,180.34,163,RS,Right,1100000.0,2000,76.0,71.0,45.0,61.0,67.0,66.0
8531,G. Tello,Unión Española,Chile,25,67,170.18,143,LM,Right,950000.0,2000,80.0,68.0,63.0,69.0,72.0,60.0
8532,I. Pallas,Puebla FC,Uruguay,35,67,190.5,192,CB,Right,180000.0,2000,61.0,37.0,56.0,48.0,24.0,75.0
8533,B. Carvallo,Club Necaxa,Chile,21,67,165.1,134,CAM,Right,1300000.0,4000,72.0,63.0,66.0,70.0,71.0,41.0
8534,J. Hesketh,Burton Albion,England,22,67,167.64000000000001,139,RM,Right,1300000.0,13000,69.0,52.0,73.0,71.0,71.0,35.0
8535,J. Clément,AS Nancy Lorraine,France,33,67,180.34,168,CDM,Left,300000.0,3000,44.0,56.0,63.0,70.0,57.0,64.0
8536,C. Songkrasin,Hokkaido Consadole Sapporo,Thailand,24,67,157.48000000000002,123,LW,Right,975000.0,2000,88.0,51.0,70.0,61.0,71.0,48.0
8537,Quim Araujo,Córdoba CF,Spain,30,67,187.96,179,CAM,Right,725000.0,4000,55.0,70.0,69.0,63.0,68.0,76.0
8538,K. Hause,Wolverhampton Wanderers,England,22,67,190.5,205,CB,Left,1100000.0,16000,60.0,35.0,56.0,55.0,53.0,83.0
8539,D. Quiñónes,Santos Laguna,Colombia,22,67,172.72,159,LM,Left,1100000.0,1000,91.0,53.0,61.0,63.0,71.0,50.0
8540,T. Wachsmuth,FSV Zwickau,Germany,31,67,182.88,176,CB,Right,525000.0,1000,63.0,62.0,62.0,60.0,23.0,75.0
8541,J. Harvey,Los Angeles FC,United States,34,67,180.34,176,LB,Left,220000.0,3000,61.0,55.0,52.0,62.0,57.0,71.0
8542,Hwang Ki Wook,FC Seoul,Korea Republic,22,67,185.42,170,CDM,Right,1100000.0,3000,59.0,39.0,68.0,65.0,62.0,74.0
8543,K. Pusch,1. FC Heidenheim 1846,Germany,25,67,180.34,168,CAM,Left,950000.0,5000,67.0,61.0,67.0,69.0,61.0,66.0
8544,K. Ota,FC Tokyo,Japan,30,67,177.8,172,LB,Left,550000.0,4000,74.0,48.0,66.0,67.0,70.0,68.0
8545,M. Mouandilmadji,FC Porto,Chad,20,67,182.88,172,ST,Right,1300000.0,4000,74.0,69.0,57.0,58.0,62.0,68.0
8546,J. McCarthy,Wycombe Wanderers,England,22,67,185.42,176,RB,Right,950000.0,3000,74.0,47.0,57.0,61.0,61.0,76.0
8547,André Bahia,Shonan Bellmare,Brazil,34,67,182.88,187,CB,Left,230000.0,2000,50.0,31.0,42.0,56.0,42.0,88.0
8548,B. Kopplin,Brøndby IF,Germany,29,67,182.88,176,LB,Right,575000.0,9000,79.0,48.0,52.0,63.0,63.0,74.0
8549,S. Contessa,Padova,Italy,28,67,177.8,154,LWB,Left,600000.0,2000,77.0,40.0,50.0,60.0,61.0,66.0
8550,J. Löhmannsröben,1. FC Kaiserslautern,Germany,27,67,185.42,187,RDM,Right,750000.0,2000,54.0,40.0,58.0,60.0,54.0,85.0
8551,T. Rowe,Doncaster Rovers,England,29,67,180.34,179,LM,Left,750000.0,4000,73.0,56.0,64.0,64.0,66.0,63.0
8552,M. Răduţ,Lech Poznań,Romania,28,67,177.8,143,LM,Right,775000.0,4000,83.0,58.0,65.0,65.0,66.0,64.0
8553,M. Hamdaoui,De Graafschap,Netherlands,25,67,170.18,143,LM,Right,950000.0,3000,77.0,63.0,67.0,72.0,72.0,38.0
8554,I. Bandalovski,,Bulgaria,31,67,182.88,170,RB,Right,,0,71.0,34.0,58.0,65.0,63.0,60.0
8555,D. Bamba,SK Brann,Ivory Coast,23,67,182.88,165,ST,Right,1000000.0,2000,87.0,66.0,52.0,63.0,67.0,69.0
8556,H. Berríos,CD Universidad de Concepción,Chile,31,67,175.26,148,RB,Right,500000.0,2000,64.0,54.0,42.0,59.0,63.0,76.0
8557,M. El Allouchi,NAC Breda,Morocco,23,67,172.72,159,LM,Right,1000000.0,3000,70.0,62.0,70.0,74.0,70.0,56.0
8558,M. Barreto,AJ Auxerre,France,27,67,175.26,139,CAM,Right,875000.0,3000,81.0,63.0,59.0,65.0,68.0,55.0
8559,F. Tardieu,SV Zulte-Waregem,France,26,67,177.8,161,LDM,Right,800000.0,5000,61.0,60.0,65.0,65.0,63.0,62.0
8560,A. Barbaro,Independiente Medellín,Argentina,26,67,177.8,165,LM,Left,900000.0,2000,72.0,57.0,64.0,69.0,73.0,52.0
8561,C. Verdonk,Feyenoord,Netherlands,21,67,175.26,154,LB,Left,900000.0,3000,70.0,51.0,52.0,69.0,63.0,67.0
8562,A. Blondell,Vancouver Whitecaps FC,Venezuela,24,67,185.42,170,ST,Right,1100000.0,3000,69.0,69.0,55.0,67.0,63.0,75.0
8563,Eddy Silvestre,AD Alcorcón,Azerbaijan,25,67,190.5,176,CDM,Right,825000.0,3000,67.0,49.0,66.0,70.0,69.0,87.0
8564,Z. MacMath,Colorado Rapids,United States,26,67,187.96,194,GK,Right,625000.0,2000,39.0,18.0,41.0,16.0,13.0,56.0
8565,M. Sao,Red Star FC,France,28,67,185.42,163,RM,Left,775000.0,3000,91.0,63.0,53.0,64.0,75.0,64.0
8566,T. Bingöl,Göztepe SK,Turkey,25,67,180.34,163,RM,Right,950000.0,8000,78.0,59.0,55.0,66.0,71.0,63.0
8567,M. Busch,1. FC Heidenheim 1846,Germany,23,67,182.88,176,RB,Right,850000.0,4000,81.0,37.0,45.0,64.0,64.0,69.0
8568,T. Cantwell,Norwich City,England,20,67,182.88,154,CAM,Right,1300000.0,7000,72.0,60.0,68.0,71.0,69.0,39.0
8569,Xiao Zhi,Guangzhou R&F; FC,China PR,33,67,187.96,176,RS,Right,475000.0,6000,72.0,68.0,57.0,63.0,62.0,71.0
8570,B. Smith,Seattle Sounders FC,Australia,24,67,177.8,154,LB,Left,850000.0,15000,77.0,42.0,55.0,61.0,62.0,60.0
8571,E. Suagher,Carpi,Italy,25,67,193.04,181,RCB,Right,800000.0,8000,53.0,15.0,17.0,54.0,38.0,72.0
8572,C. Flórez,Alianza Petrolera,Colombia,23,67,180.34,181,LB,Left,825000.0,1000,71.0,30.0,46.0,52.0,50.0,77.0
8573,T. Ebuehi,SL Benfica,Nigeria,22,67,187.96,159,RB,Right,850000.0,3000,86.0,37.0,41.0,62.0,64.0,66.0
8574,Kaio Aldair,Paraná,Brazil,26,67,175.26,139,RB,Right,650000.0,7000,79.0,52.0,56.0,71.0,62.0,59.0
8575,I. Groothuizen,ADO Den Haag,Netherlands,21,67,190.5,194,GK,Right,850000.0,2000,28.0,11.0,45.0,22.0,14.0,61.0
8576,Provencio,Elche CF,Spain,30,67,177.8,165,CM,Right,700000.0,3000,66.0,56.0,71.0,71.0,65.0,66.0
8577,Jairo Morillas,V-Varen Nagasaki,Spain,24,67,185.42,172,ST,Right,1000000.0,2000,67.0,70.0,48.0,63.0,60.0,63.0
8578,M. Al Fatil,Al Ahli,Saudi Arabia,26,67,177.8,159,RCB,Right,825000.0,11000,57.0,18.0,25.0,55.0,28.0,80.0
8579,T. Deng,Melbourne Victory,Australia,21,67,182.88,163,RCB,Right,875000.0,2000,77.0,26.0,37.0,58.0,48.0,75.0
8580,D. Lamkel Zé,Royal Antwerp FC,Cameroon,21,67,193.04,172,CAM,Right,1100000.0,3000,72.0,68.0,65.0,67.0,71.0,62.0
8581,V. Luchkevych,Standard de Liège,Ukraine,22,67,177.8,143,RM,Right,1000000.0,5000,72.0,59.0,68.0,69.0,67.0,48.0
8582,J. Edmundsson,DSC Arminia Bielefeld,Faroe Islands,26,67,185.42,183,RM,Left,825000.0,5000,74.0,64.0,64.0,69.0,66.0,66.0
8583,G. Long,Hull City,England,24,67,193.04,207,GK,Left,725000.0,6000,30.0,13.0,48.0,23.0,16.0,52.0
8584,J. Radošević,Brøndby IF,Croatia,24,67,180.34,163,CDM,Right,900000.0,7000,54.0,55.0,60.0,61.0,49.0,74.0
8585,M. Pennington,Ipswich Town,England,23,67,185.42,170,LCB,Right,1000000.0,3000,64.0,30.0,31.0,54.0,49.0,73.0
8586,Z. Ondrášek,Wisła Kraków,Czech Republic,29,67,185.42,174,ST,Right,750000.0,3000,64.0,68.0,49.0,59.0,56.0,84.0
8587,C. Remmer,Molde FK,Denmark,25,67,182.88,174,RB,Right,825000.0,3000,74.0,40.0,59.0,65.0,64.0,65.0
8588,L. Slagveer,FC Emmen,Netherlands,24,67,177.8,163,RM,Right,975000.0,5000,90.0,60.0,63.0,66.0,67.0,63.0
8589,F. Lewis,Willem II,Netherlands,25,67,180.34,165,RB,Right,800000.0,3000,85.0,50.0,60.0,62.0,66.0,65.0
8590,M. Rivoredo,,Paraguay,26,67,182.88,172,CM,Right,,0,64.0,35.0,62.0,68.0,65.0,60.0
8591,J. Vásquez,Rionegro Águilas,Colombia,30,67,177.8,168,CDM,Right,575000.0,1000,63.0,31.0,65.0,65.0,64.0,73.0
8592,M. Svilar,SL Benfica,Belgium,18,67,187.96,179,GK,Right,1300000.0,1000,60.0,14.0,48.0,22.0,19.0,61.0
8593,J. Jeggo,FK Austria Wien,Australia,26,67,177.8,146,CDM,Right,800000.0,6000,70.0,57.0,67.0,66.0,63.0,62.0
8594,G. Navarrete,CD O'Higgins,Chile,23,67,175.26,154,CAM,Right,1100000.0,2000,68.0,46.0,75.0,61.0,66.0,62.0
8595,Alemão,Al Hazem,Brazil,27,67,185.42,183,RCB,Right,750000.0,4000,67.0,42.0,43.0,57.0,54.0,75.0
8596,Y. Coulibaly,Le Havre AC,Burkina Faso,23,67,175.26,150,LB,Left,875000.0,3000,77.0,41.0,37.0,60.0,63.0,60.0
8597,F. Saavedra,Unión La Calera,Chile,32,67,175.26,159,CM,Right,575000.0,1000,59.0,42.0,72.0,71.0,65.0,77.0
8598,R. Framberger,FC Augsburg,Germany,22,67,177.8,161,RB,Right,950000.0,6000,67.0,41.0,48.0,63.0,49.0,55.0
8599,J. Vargas,Montreal Impact,Chile,20,67,170.18,154,CF,Right,1300000.0,3000,77.0,64.0,57.0,68.0,72.0,48.0
8600,S. Aluko,Reading,Nigeria,29,67,172.72,165,RW,Left,750000.0,13000,79.0,54.0,63.0,70.0,70.0,48.0
8601,M. Power,Sunderland,England,24,67,180.34,170,RDM,Right,875000.0,13000,64.0,63.0,66.0,65.0,63.0,71.0
8602,S. Pasa,Cittadella,Italy,24,67,182.88,187,CM,Left,1100000.0,1000,55.0,48.0,64.0,67.0,62.0,77.0
8603,F. Valot,New York Red Bulls,France,25,67,175.26,165,RM,Left,950000.0,3000,75.0,58.0,65.0,69.0,69.0,63.0
8604,J. Kalla,FC St. Pauli,Germany,31,67,180.34,163,RB,Right,500000.0,6000,68.0,42.0,57.0,65.0,59.0,65.0
8605,S. Chhetri,,India,33,67,170.18,154,LS,Right,,0,76.0,71.0,56.0,64.0,63.0,59.0
8606,Bicho,Deportivo de La Coruña,Spain,22,67,172.72,139,CAM,Left,1100000.0,3000,59.0,64.0,67.0,72.0,68.0,47.0
8607,M. Parensen,1. FC Union Berlin,Germany,32,67,180.34,174,LB,Left,425000.0,9000,65.0,49.0,57.0,67.0,63.0,72.0
8608,R. Manning,Rotherham United,Republic of Ireland,22,67,172.72,146,LCM,Left,1100000.0,3000,65.0,60.0,69.0,68.0,65.0,62.0
8609,Rodri Tarín,CD Leganés,Spain,21,67,182.88,176,CB,Right,975000.0,6000,69.0,24.0,42.0,66.0,53.0,75.0
8610,A. Mbekile,Orlando Pirates,South Africa,31,67,172.72,159,RB,Right,500000.0,1000,68.0,29.0,45.0,68.0,66.0,60.0
8611,R. Arias,Ettifaq FC,Uruguay,25,67,180.34,185,LCB,Right,750000.0,8000,50.0,20.0,35.0,52.0,45.0,75.0
8612,S. Singh,Wellington Phoenix,New Zealand,19,67,172.72,143,CAM,Left,1300000.0,1000,74.0,58.0,72.0,65.0,66.0,39.0
8613,L. Schweers,SC Preußen Münster,Germany,22,67,187.96,179,RCB,Right,900000.0,2000,58.0,27.0,46.0,50.0,34.0,81.0
8614,H. Hansson,AC Horsens,Faroe Islands,25,67,182.88,170,LCM,Right,900000.0,4000,76.0,60.0,65.0,65.0,65.0,62.0
8615,J. Whatmough,Portsmouth,England,22,67,190.5,172,RCB,Right,1300000.0,4000,67.0,24.0,50.0,56.0,41.0,78.0
8616,H. Cummings,San Jose Earthquakes,Panama,26,67,182.88,185,LCB,Right,750000.0,3000,66.0,21.0,44.0,55.0,49.0,84.0
8617,T. Kløve,Odense Boldklub,Denmark,27,67,177.8,168,RCM,Right,800000.0,5000,80.0,61.0,67.0,69.0,69.0,50.0
8618,E. Mosquera,Independiente Medellín,Colombia,27,67,182.88,170,LB,Left,625000.0,2000,68.0,36.0,57.0,58.0,57.0,75.0
8619,G. Di Chiara,Benevento,Italy,24,67,185.42,176,LB,Left,850000.0,2000,71.0,23.0,39.0,64.0,64.0,72.0
8620,João Silva,CD Feirense,Portugal,28,67,187.96,174,ST,Right,800000.0,5000,64.0,67.0,46.0,70.0,62.0,68.0
8621,N. Solís,San Martín de San Juan,Argentina,24,67,170.18,154,LM,Left,1000000.0,7000,83.0,66.0,63.0,67.0,73.0,39.0
8622,J. Monreal,Unión La Calera,Chile,22,67,190.5,168,ST,Right,1200000.0,1000,64.0,69.0,49.0,67.0,66.0,73.0
8623,W. Cartagena,Tiburones Rojos de Veracruz,Peru,23,67,180.34,159,CDM,Right,900000.0,3000,72.0,45.0,61.0,64.0,63.0,62.0
8624,G. Itter,VfL Wolfsburg,Germany,19,67,185.42,159,LB,Left,1500000.0,5000,70.0,40.0,49.0,68.0,70.0,58.0
8625,Bruno Costa,FC Porto,Portugal,21,67,175.26,146,CM,Right,1200000.0,3000,74.0,58.0,67.0,73.0,71.0,49.0
8626,D. Dervite,Sporting de Charleroi,France,29,67,193.04,187,CB,Right,600000.0,5000,48.0,33.0,50.0,55.0,34.0,82.0
8627,Lee Jong Sung,Suwon Samsung Bluewings,Korea Republic,25,67,187.96,159,CB,Right,825000.0,3000,63.0,56.0,71.0,65.0,59.0,76.0
8628,E. Palomino,Deportivo Pasto,Colombia,32,67,170.18,132,LM,Right,600000.0,1000,90.0,64.0,62.0,63.0,66.0,47.0
8629,R. Lindkvist,AIK,Sweden,28,67,182.88,163,LWB,Left,600000.0,3000,91.0,54.0,60.0,63.0,61.0,66.0
8630,V. Kostevych,Lech Poznań,Ukraine,25,67,175.26,146,LB,Left,725000.0,3000,84.0,44.0,63.0,65.0,62.0,69.0
8631,D. Rowe,Ipswich Town,England,26,67,182.88,168,RM,Left,825000.0,4000,88.0,60.0,51.0,66.0,73.0,55.0
8632,Diego Maurício,Gangwon FC,Brazil,27,67,182.88,176,LM,Right,800000.0,3000,84.0,68.0,66.0,69.0,70.0,78.0
8633,M. Guidone,Padova,Italy,32,67,190.5,174,ST,Right,600000.0,2000,58.0,63.0,55.0,64.0,54.0,78.0
8634,B. Jones,Rotherham United,England,31,67,180.34,170,RB,Right,500000.0,10000,60.0,53.0,51.0,65.0,64.0,67.0
8635,S. Ishizaki,IF Elfsborg,Sweden,36,67,180.34,179,RM,Right,240000.0,2000,64.0,59.0,69.0,70.0,68.0,69.0
8636,B. van Hintum,Heracles Almelo,Netherlands,31,67,177.8,168,LB,Left,500000.0,3000,65.0,37.0,56.0,64.0,66.0,66.0
8637,E. Brítez,Independiente,Argentina,26,67,180.34,172,RCB,Right,775000.0,5000,74.0,35.0,44.0,60.0,61.0,76.0
8638,S. Aresti,Cagliari,Italy,32,67,187.96,172,GK,Right,450000.0,8000,35.0,12.0,38.0,22.0,11.0,53.0
8639,W. Pacheco,La Equidad,Colombia,23,67,172.72,132,RB,Right,950000.0,1000,91.0,44.0,39.0,57.0,63.0,40.0
8640,K. Fisker,Brøndby IF,Denmark,30,67,170.18,157,CM,Left,700000.0,9000,74.0,61.0,68.0,71.0,69.0,64.0
8641,P. Förster,SV Sandhausen,Germany,23,67,187.96,181,LDM,Left,1100000.0,2000,66.0,56.0,70.0,66.0,68.0,75.0
8642,T. Rogne,Lech Poznań,Norway,28,67,190.5,190,CB,Right,700000.0,4000,44.0,15.0,46.0,54.0,39.0,81.0
8643,B. Rymaniak,Korona Kielce,Poland,28,67,187.96,176,RB,Right,600000.0,2000,69.0,27.0,41.0,58.0,57.0,80.0
8644,R. McGowan,Bradford City,Australia,28,67,190.5,172,CB,Right,625000.0,4000,64.0,44.0,45.0,62.0,57.0,76.0
8645,D. Bingham,LA Galaxy,United States,28,67,187.96,190,GK,Right,650000.0,2000,39.0,9.0,50.0,17.0,13.0,65.0
8646,S. Bradley,Luton Town,England,26,67,195.57999999999998,198,LCB,Left,750000.0,4000,55.0,30.0,43.0,51.0,46.0,79.0
8647,Tiago Gomes,CD Feirense,Portugal,31,67,177.8,159,LB,Left,500000.0,4000,68.0,45.0,57.0,68.0,67.0,63.0
8648,D. Marsura,Venezia FC,Italy,24,67,187.96,172,ST,Right,1000000.0,2000,83.0,66.0,51.0,65.0,70.0,74.0
8649,S. Zurbriggen,Unión de Santa Fe,Argentina,28,67,177.8,152,RCB,Right,625000.0,5000,73.0,36.0,41.0,54.0,51.0,73.0
8650,N. Valentini,Ascoli,Argentina,29,67,182.88,181,CB,Right,600000.0,2000,53.0,25.0,23.0,60.0,50.0,83.0
8651,S. Field,West Bromwich Albion,England,20,67,185.42,143,CM,Left,1700000.0,8000,65.0,52.0,61.0,67.0,62.0,54.0
8652,C. Seitz,Houston Dynamo,United States,31,67,190.5,236,GK,Right,475000.0,2000,57.0,14.0,41.0,9.0,11.0,84.0
8653,A. Winter,FC Zürich,Switzerland,31,67,177.8,165,RM,Right,675000.0,5000,82.0,65.0,55.0,67.0,63.0,67.0
8654,L. Azouni,KV Kortrijk,Tunisia,24,67,175.26,161,RM,Right,975000.0,5000,67.0,45.0,69.0,67.0,62.0,69.0
8655,K. Larsen,IFK Norrköping,Denmark,25,67,190.5,194,LCB,Right,825000.0,2000,72.0,24.0,35.0,55.0,38.0,83.0
8656,J. Coppinger,Doncaster Rovers,England,37,67,170.18,143,LW,Right,260000.0,3000,56.0,61.0,68.0,73.0,65.0,59.0
8657,L. Feeney,Blackpool,England,31,67,182.88,168,RM,Right,675000.0,4000,78.0,57.0,60.0,63.0,70.0,67.0
8658,K. Cissé,Hellas Verona,Guinea,29,67,182.88,172,ST,Right,750000.0,2000,89.0,66.0,47.0,62.0,60.0,88.0
8659,H. Martínez,CD Universidad de Concepción,Chile,31,67,177.8,161,CB,Right,525000.0,2000,51.0,38.0,37.0,55.0,44.0,70.0
8660,C. Townsend,West Bromwich Albion,England,25,67,182.88,161,LB,Left,825000.0,10000,67.0,44.0,61.0,63.0,63.0,69.0
8661,L. Delgado,Atlético Bucaramanga,Colombia,37,67,187.96,154,GK,Right,50000.0,1000,42.0,19.0,35.0,20.0,13.0,40.0
8662,F. Heerkens,Willem II,Netherlands,28,67,182.88,176,RCB,Right,625000.0,3000,54.0,20.0,50.0,56.0,53.0,73.0
8663,T. Dierckx,Waasland-Beveren,Belgium,23,67,170.18,150,RM,Right,1000000.0,4000,79.0,67.0,63.0,66.0,70.0,61.0
8664,L. Rolón,Deportes Iquique,Argentina,23,67,170.18,154,RM,Right,1100000.0,1000,76.0,47.0,61.0,67.0,71.0,61.0
8665,J. De la Cuesta,Deportivo Pasto,Colombia,35,67,182.88,161,CB,Right,180000.0,1000,58.0,33.0,42.0,50.0,49.0,72.0
8666,J. Martínez,Pachuca,Mexico,31,67,175.26,152,RB,Right,500000.0,9000,68.0,50.0,59.0,65.0,67.0,68.0
8667,J. Spearing,Blackpool,England,29,67,167.64000000000001,154,RCM,Right,725000.0,4000,67.0,51.0,64.0,69.0,65.0,62.0
8668,J. Edwards,Walsall,England,27,67,172.72,161,CM,Right,775000.0,3000,75.0,60.0,64.0,66.0,64.0,70.0
8669,J. Gonzalez,FC Dallas,United States,23,67,193.04,185,GK,Right,950000.0,2000,41.0,16.0,38.0,21.0,13.0,65.0
8670,K. Karami,Vitesse,Morocco,28,67,180.34,161,RB,Right,600000.0,5000,76.0,52.0,52.0,63.0,70.0,63.0
8671,N. Lozano,Elche CF,Colombia,24,67,185.42,170,LCB,Left,875000.0,2000,66.0,38.0,45.0,59.0,50.0,88.0
8672,L. Camp,Birmingham City,Northern Ireland,33,67,182.88,163,GK,Right,375000.0,7000,35.0,17.0,36.0,22.0,14.0,70.0
8673,L. Hyam,Southend United,England,26,67,177.8,159,CM,Right,875000.0,4000,75.0,51.0,63.0,67.0,63.0,76.0
8674,O. Vásquez,Rionegro Águilas,Colombia,28,67,167.64000000000001,137,CAM,Left,775000.0,1000,72.0,61.0,71.0,64.0,65.0,33.0
8675,M. Polster,Chicago Fire,United States,25,67,182.88,170,RB,Right,850000.0,3000,50.0,48.0,66.0,66.0,67.0,75.0
8676,Ribamar,Ohod Club,Brazil,21,67,182.88,179,ST,Left,1300000.0,6000,84.0,69.0,57.0,62.0,61.0,80.0
8677,R. Sandoval,Monarcas Morelia,Peru,23,67,170.18,159,RW,Right,1200000.0,4000,80.0,66.0,55.0,67.0,74.0,60.0
8678,Gonzalo Verdú,Elche CF,Spain,29,67,185.42,176,RCB,Right,600000.0,3000,57.0,45.0,55.0,59.0,51.0,79.0
8679,A. Halliday,Rangers FC,Scotland,26,67,172.72,148,LB,Left,725000.0,15000,70.0,57.0,60.0,65.0,63.0,65.0
8680,T. Casasola,US Salernitana 1919,Argentina,22,67,187.96,185,RM,Right,1100000.0,2000,68.0,50.0,66.0,68.0,66.0,82.0
8681,J. Stojanović,KV Kortrijk,Serbia,26,67,187.96,176,CAM,Right,925000.0,5000,53.0,64.0,66.0,68.0,67.0,71.0
8682,J. Burić,Lech Poznań,Bosnia Herzegovina,31,67,193.04,176,GK,Right,475000.0,3000,30.0,13.0,43.0,22.0,11.0,59.0
8683,H. Stengel,Strømsgodset IF,Norway,22,67,180.34,163,LCM,Right,1100000.0,2000,68.0,57.0,67.0,68.0,67.0,69.0
8684,Paolo Fernandes,NAC Breda,Spain,19,67,170.18,134,RM,Left,1300000.0,15000,78.0,61.0,62.0,76.0,74.0,37.0
8685,Rufo,Sandefjord Fotball,Spain,25,67,175.26,161,CAM,Right,1000000.0,2000,70.0,71.0,59.0,74.0,64.0,48.0
8686,T. Hysén,IFK Göteborg,Sweden,36,67,180.34,183,ST,Left,270000.0,2000,71.0,66.0,63.0,61.0,59.0,69.0
8687,Yun Suk Young,FC Seoul,Korea Republic,28,67,182.88,168,RCM,Left,600000.0,4000,76.0,61.0,65.0,65.0,65.0,68.0
8688,J. Forster-Caskey,Charlton Athletic,England,24,67,177.8,141,CM,Left,1100000.0,4000,74.0,58.0,68.0,69.0,64.0,65.0
8689,N. Palacios,Patriotas Boyacá FC,Colombia,26,67,190.5,159,CDM,Right,800000.0,1000,52.0,37.0,53.0,59.0,52.0,81.0
8690,Jhonnattann,Al Taawoun,Brazil,28,67,165.1,143,LM,Right,775000.0,8000,91.0,58.0,62.0,64.0,68.0,46.0
8691,D. Efremov,PFC CSKA Moscow,Russia,23,67,180.34,154,RM,Right,1000000.0,1000,75.0,59.0,57.0,70.0,72.0,52.0
8692,B. San Juan,CD O'Higgins,Chile,24,67,177.8,168,CB,Right,900000.0,2000,76.0,38.0,34.0,49.0,54.0,76.0
8693,R. Henry,Brentford,England,20,67,170.18,146,LB,Left,1100000.0,9000,92.0,40.0,54.0,65.0,69.0,62.0
8694,B. Baningime,Everton,DR Congo,19,67,177.8,154,CDM,Right,1500000.0,10000,51.0,34.0,66.0,62.0,66.0,58.0
8695,Zhao Xuri,Tianjin Quanjian FC,China PR,32,67,185.42,185,RDM,Right,575000.0,8000,41.0,56.0,64.0,62.0,59.0,81.0
8696,K. Luijckx,SønderjyskE,Netherlands,32,67,190.5,190,LCB,Right,450000.0,5000,59.0,45.0,53.0,63.0,53.0,81.0
8697,Tiago Caeiro,Os Belenenses,Portugal,34,67,193.04,185,ST,Right,400000.0,3000,37.0,72.0,47.0,58.0,57.0,84.0
8698,S. Moreo,Palermo,Italy,25,67,190.5,165,ST,Right,1000000.0,2000,62.0,66.0,52.0,60.0,59.0,81.0
